product,origin,price,url
Fraises Ciflorette ( la barquette de 250 g ) ,FRANCE,1.98€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680265578_PHOTOSITE_20160318_163756_0.jpg?placeholder=1
Fraises rondes ( la barquette de 250 g ) ,FRANCE,1.98€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554567949_PHOTOSITE_20160330_163753_0.jpg?placeholder=1
Fraises Gariguette Label Rouge ( la barquette de 250 g ) ,FRANCE,4.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550182030_PHOTOSITE_20140416_170804_0.jpg?placeholder=1
Fraises Gariguette ( la barquette de 250 g ) ,FRANCE,2.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554568076_PHOTOSITE_20150616_083156_0.jpg?placeholder=1
Framboise ( la barquette de 250g ) ,ORIGINEPAYSTIERS,2.89€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550268772_PHOTOSITE_20200310_173128_0.jpg?placeholder=1
Myrtilles ( la barquette de 250g ) ,FRANCE,2.89€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680432901_PHOTOSITE_20200201_061000_0.jpg?placeholder=1
Ananas Extra Sweet ( la pièce ) ,COSTARICA,1.89€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001033257_PHOTOSITE_20150616_083145_0.jpg?placeholder=1
Mangue Kent ( l'unité ) ,PEROU,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001036159_PHOTOSITE_20150617_162342_0.jpg?placeholder=1
Grenade ( la pièce ) ,PEROU,1.69€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554651631_PHOTOSITE_20160318_163323_0.jpg?placeholder=1
Fruit de la passion ( la pièce ) ,VIETNAM,1.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001022961_PHOTOSITE_20160318_163654_0.jpg?placeholder=1
Bananes Cavendish ( le kilo ) ,COSTARICA,1.59€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000000033272_PHOTOSITE_20170627_162309_0.jpg?placeholder=1
